JD,Magnitude
2456659.2292,11.1
2456660.2,9.9
2456660.21,10.7
2456660.225,11.3
2456660.28611,11
2456660.2903,10.9
2456660.5,10.9
2456660.7257,11.2
2456661.45972,10.6
2456661.5,11.3
2456661.59028,10.5
2456662.2438,10.4
2456662.49306,7.5
2456663.2243,11.2
2456664.2,10.6
2456665,11.6
2456665.3944,11.4
2456667.32,11
2456668.2,10.8
2456668.2,10.7
2456669.2743,11.1
2456670.1882,11.2
2456670.2,11.6
2456670.25347,11
2456674.2875,11.2
2456675.20139,11.2
2456676.2542,11.5
2456679.5,11.7
2456681.48819,11.7
2456689.29653,11.7
2456690.6819,11.1
2456691.2542,12.3
2456693.21,12
2456698,12.3
2456700.94653,11.4
2456710.2729,12.1
2456711.6576,12.3
2456717.92639,12.8
2456719.8,12.7
2456724.6,12.7
2456729.603137,14.355
2456729.60338,12.624
2456729.9,13
2456737.92153,13.1
2456739.4,12.3
2456740.8,13.2
2456745.618148,15.016
2456745.618391,13.09
2456745.97222,13.4
2456747.6321,13.4
2456750.7,13.3
2456755.714,9.9
2456756.65,13.3
2456758.630556,13.528
2456762.59,13.5
2456765.6153,12.3
2456775.8,13.8
2456781.4,13.7
2456781.465995,14.143
2456784.3833,13.8
2456784.97888,14.189
2456786.501,14.48
2456788.53,14.52
2456792.637,14.65
2456793.511,14.36
2456795.535,14.75
2456795.6,13.8
2456796.93883,14.74
2456798.3854,13.6
2456798.39,13.8
2456799.3,14
2456800.42,14.2
2456801.4521,13.8
2456803.47,14.5
2456806.523,14.68
2456808.6,14
2456808.74514,13.6
2456809.6,13.8
2456813.42,13.6
2456814.363,13.8
2456815.39,13.6
2456815.508,15.01
2456815.83194,13.6
2456816.498,14.82
2456817.4,14.5
2456817.511,14.59
2456818.499,15.06
2456825.5,13.8
2456828.526,15.12
2456829.5243,12.8
2456831.4125,13.8
2456832.3,14
2456835.512,15.11
2456835.71181,14
2456835.72796,14.754
2456836.4,14.5
2456836.46,14.3
2456837.5,14.1
2456840.3686,14
2456840.5042,13.6
2456841.45833,14.2
2456841.5,12.4
2456842.35,13.4
2456843.67713,14.509
2456843.67868,15.682
2456843.68025,8.98
2456844.69519,14.682
2456846.36,12.3
2456848.4979,13.6
2456853.516,14.29
2456854.3,14.4
2456855.6,14
2456862.45833,14
2456862.5292,13.6
2456862.6688,13.6
2456863.509,14.17
2456863.656655,13.901
2456864.3941,13.9
2456865.5,13.9
2456867.8382,13.4
2456869.3,13.6
2456869.5708,13.6
2456870.558,13.68
2456872.46,13.4
2456873.679097,13.479
2456875.8,13.5
2456877.41728,13.377
2456883.618,12.4
2456884.58681,12.3
2456885.44028,13.2
2456885.6,10.9
2456885.678831,12.895
2456887.35,12.9
2456887.6,13
2456887.606,13.4
2456888.3,12.9
2456888.4012,13.2
2456888.44792,13.4
2456889.4972,12.8
2456891.49,13.1
2456892.3,13.3
2456892.74236,12.9
2456894.7368,12.7
2456895.4119,12.6
2456897.438,12.4
2456897.5,12.5
2456897.8,12.8
2456898.578,12.8
2456899.6236,12.3
2456901.81597,12.6
2456904.39,12.3
2456906.572,12.4
2456907.8,12.3
2456909.3,12.1
2456912.4111,11.4
2456912.445,11.44
2456912.56458,11.2
2456913.3507,11.2
2456913.4028,11.5
2456913.6,11.8
2456914.32,11.9
2456914.584,11.3
2456914.633576,11.299
2456915.3368,11.5
2456915.35069,11.7
2456915.6528,12
2456916.37431,11
2456917.22847,11.4
2456917.333125,12.691
2456917.333287,11.054
2456917.60556,11.3
2456917.65588,11.049
2456917.7,11.8
2456918.4,11.6
2456919.31,10.6
2456919.3514,11.1
2456919.3848,11.4
2456919.6,11.2
2456919.634456,10.87
2456920.26319,11.3
2456920.631,10.9
2456921.308345,12.357
2456921.308542,10.675
2456921.4,10.5
2456921.423356,10.295
2456921.68839,11.2
2456922.3,10.6
2456923.3139,10.7
2456923.3514,10.8
2456923.58194,11.2
2456923.640347,10.498
2456924.35,10.4
2456924.358634,12.048
2456924.358785,10.384
2456924.36111,10.5
2456924.4201,10.7
2456924.5,10.7
2456924.6042,11.1
2456926.4316,10.21
2456926.75556,10.9
2456927.405,10.02
2456927.5,10
2456927.57292,9.8
2456927.6,10.9
2456927.62308,10.813
2456928.295903,11.598
2456928.296065,10.017
2456928.3,10.1
2456928.341,11.2
2456928.3417,10.3
2456928.3535,10.1
2456928.38056,9.9
2456928.66181,10.2
2456929.3,9.9
2456929.3454,10.4
2456929.37,10.3
2456929.3814,10
2456929.5,10.1
2456929.5306,10.4
2456930.28,10
2456931.348,9.7
2456932.3,9.9
2456932.3326,10
2456932.394,9.57
2456932.42,9.7
2456932.452,9.632
2456932.5,9.6
2456932.57639,9.6
2456932.6,9.8
2456933.2826,9.9
2456933.36875,9.9
2456934.2125,10.3
2456934.2986,9.9
2456934.305,9.3
2456934.3722,9.8
2456935.3354,9.8
2456935.4639,9.4
2456935.48,9.6
2456935.79556,9.8
2456936.2701,9.9
2456938.425,9.3
2456939.37361,9.3
2456939.52083,9.3
2456940.2,9.5
2456940.2806,9.4
2456940.3,9.4
2456940.39,9.3
2456940.6,9.5
2456940.604,9.6
2456941.20417,8.8
2456941.3,9.6
2456942.27,9
2456942.38837,9.014
2456942.393275,10.366
2456942.393426,9.012
2456942.5,9
2456942.6,9.3
2456943.2,9
2456943.2922,9.1
2456944.27,9
2456944.3053,9.2
2456944.6361,9
2456945.56501,8.768
2456945.61413,8.9
2456946.2667,8.7
2456946.40625,8.7
2456946.70208,9.1
2456947.5222,8.4
2456948.252,9.2
2456948.3069,9.4
2456948.33353,8.56
2456948.36319,8.8
2456949.20903,9.2
2456949.2438,9.4
2456949.261887,10.04
2456949.262037,8.59
2456949.3,9.3
2456949.3,9.1
2456949.373,9.3
2456949.3868,9.1
2456949.51389,9.2
2456949.6604,8.7
2456949.72305,8.5
2456950.2826,9.2
2456950.2979,9
2456950.38,8.5
2456950.39931,8.6
2456950.411,8.5
2456950.585,9.7
2456950.67361,8.6
2456951.3,8.7
2456952.2,9.4
2456952.509,9.4
2456952.6875,8.5
2456953.33,9
2456953.4,9.6
2456953.54306,8.7
2456953.55556,8.9
2456953.6,9
2456953.64838,9.5
2456954.34362,8.39
2456954.43264,8.6
2456955.25,9.2
2456955.28,8.6
2456955.2854,8.8
2456956.3,9
2456956.32,9.1
2456956.3396,8.6
2456956.3569,9.3
2456956.375,8.7
2456956.71875,8.4
2456957.22781,8.35
2456957.24394,8.33
2456957.26124,8.3
2456957.27277,8.27
2456957.28292,8.3
2456957.29177,8.31
2456957.389109,8.414
2456957.4028,9.1
2456957.5,8.6
2456957.52363,8.404
2456958.2,9
2456958.2444,8.2
2456958.2535,9.1
2456958.2599,9.4
2456958.262,8.8
2456958.3,8.6
2456958.3,8.2
2456958.3,8.6
2456958.34,8.5
2456958.391065,8.38
2456958.425,8.3
2456958.542,9.2
2456959.27,8.4
2456959.2917,9.1
2456959.362755,8.343
2456959.3769,8.3
2456959.5,8.5
2456960.51389,8.4
2456960.5931,9
2456961.37109,8.338
2456961.4,8.2
2456962.19375,8.8
2456962.3229,8.8
2456962.36806,8.6
2456962.424,8.6
2456962.452454,8.324
2456963.191,8.7
2456963.3181,8.6
2456963.382,8.25
2456964.3069,8.2
2456965.2333,8.2
2456965.2611,8.1
2456965.27,8.5
2456966.2,9
2456966.3,8.6
2456967.22778,8.2
2456967.2572,8.6
2456967.34,8
2456967.6076,8.6
2456968.348,8.4
2456969.3382,8.1
2456969.4375,8.1
2456969.52083,8.2
2456969.633,8.8
2456969.7,8.6
2456970.25,8.1
2456970.67847,8.6
2456971.2,8.5
2456971.3118,8.1
2456971.34,8.1
2456972.3,8.7
2456972.3,8.75
2456972.31,8.5
2456972.33333,8.6
2456973.2,8.3
2456973.2326,8.6
2456973.2375,8.2
2456973.3931,8.6
2456974.32,7.8
2456974.3417,8.1
2456974.40972,8.2
2456976.22,8.1
2456977.21806,8.4
2456977.2354,8.6
2456978.25,8.3
2456978.41667,8.6
2456979.35069,9.1
2456979.6,8.2
2456979.6,8.8
2456980.23568,8.27
2456980.24922,8.29
2456980.2684,8.8
2456981.21667,8.6
2456981.35,8.5
2456982.17639,8.5
2456982.36,8.8
2456982.5,8.7
2456983.618,9.1
2456984.186,8.5
2456984.1875,8.9
2456984.313958,9.777
2456984.314132,8.457
2456985.182,8.5
2456985.2125,8.9
2456985.23,8.8
2456985.31,8.7
2456985.34,7.9
2456986.2,9.4
2456986.2569,9
2456986.3,8.6
2456986.31597,8.7
2456986.3222,8.5
2456987.34722,8.7
2456987.6354,8
2456988.1979,9
2456988.61846,10.376
2456988.61847,8.467
2456989.33,7.9
2456990.4,8.87
2456990.66806,9.1
2456992.32,7.9
2456993.4028,8.8
2456994.40278,9
2456995.2347,8.6
2456996.2,9.1
2456996.5,8.8
2456996.572,9.1
2456997.17986,8.8
2456997.24931,8.6
2456998.3,8.8
2456998.5,9.2
2456999.38,8.2
2457000.175,8.9
2457000.2146,9.1
2457001.2257,9.1
2457001.27843,8.61
2457001.33795,8.63
2457001.35995,8.68
2457002.24653,8.2
2457002.3125,9
2457003.2986,8.9
2457004.3146,8.9
2457005.3,8.9
2457005.3181,9.7
2457005.39,9.2
2457006.2,9.1
2457006.226,9.6
2457006.3,9.12
2457008.4181,9.1
2457009.2,9.7
2457010.22,9.3
2457010.3681,9.1
2457011.17917,8.8
2457011.5,9.2
2457012.17,9.5
2457012.19653,9.3
2457012.39,9.1
2457013.2,9.6
2457013.3,8.6
2457015.307,8.87
2457016.2,9.5
2457016.39,9.3
2457016.437,9.6
2457016.716,9.2
2457017.59792,9.4
2457018.172,9.5
2457018.21,9.7
2457019.18125,9
2457019.2743,9.5
2457020.26736,9.3
2457020.27014,9.3
2457020.38,9.4
2457020.5,9.6
2457021.2,9.7
2457021.293,8.94
2457022,9.3
2457022.19,9.4
2457022.302,8.97
2457024.745,9.04
2457025.2438,9.4
2457027.1875,9.4
2457027.2,9.7
2457027.21,9.9
2457027.2181,9.1
2457027.2389,9.2
2457027.25697,9.08
2457027.2757,9.5
2457027.27944,8.98
2457027.2826,9.4
2457027.4,9.65
2457028.2,9.6
2457030.178,9.7
2457030.5,9.7
2457031.39,9.5
2457032.36597,9.3
2457032.5,9.7
2457033.18542,9.7
2457033.2,8.9
2457033.6,9.6
2457034.3264,9.61
2457036.2,9.8
2457036.557,9.7
2457037.25625,9.8
2457038.18889,9.8
2457038.19,9.8
2457038.1965,9.5
2457038.59,9.6
2457040.2083,9.9
2457040.217,9.7
2457041.2819,9.9
2457041.717,9.7
2457042.5,9.8
2457043.721,9.8
2457046.2986,9.67
2457046.6,9.8
2457046.723,9.9
2457049.6958,9.7
2457051,9.9
2457051.58,9.8
2457051.6507,10.2
2457052.2153,9.8
2457052.2319,10.2
2457053.24186,9.79
2457053.9,9.9
2457054.2,9.3
2457054.215,9.8
2457054.2917,10.1
2457054.7375,10.3
2457055.2222,10.4
2457057.20208,10
2457058.2583,10.1
2457059.21,9.8
2457060.3,9.85
2457060.71,10
2457061.21389,10.2
2457061.225,10.5
2457061.715,9.8
2457062.2361,10.4
2457062.36806,10
2457062.7431,9.9
2457064.9,10.4
2457066.21,10.2
2457066.2535,10.2
2457066.34861,10.3
2457066.65417,10.9
2457066.6951,10.4
2457067.7271,9.8
2457068.24,10
2457068.69,10.1
2457068.7069,10.6
2457069,10.3
2457069.6028,10.5
2457069.67,9.9
2457070.6438,10.5
2457070.6521,10.1
2457070.72,10.3
2457071.2743,10.1
2457073.6285,10.5
2457073.7153,10.52
2457074,10.9
2457074.5868,10.5
2457074.6,10
2457075.72,10.3
2457076.6486,10.6
2457078.6875,10.5
2457079.6,10
2457080.4986,10.6
2457080.72,10.4
2457081.6563,10.64
2457081.95139,11
2457082,10.7
2457083.67,10.4
2457084.6771,10.8
2457086.72,10.5
2457086.9,11.3
2457091.65,10.6
2457093.65556,10.7
2457095.36042,10.9
2457096.6944,11.1
2457098.5972,10.8
2457099.59,10.8
2457099.8,11.3
2457103.9,11.2
2457104.530683,10.31
2457104.531944,10.237
2457106.39236,11
2457107.468634,10.206
2457110.6111,11.2
2457110.8,11.6
2457113.63,11
2457113.64,11
2457117.6076,10.5
2457122.42014,11.9
2457122.617,11.12
2457123.89236,11.5
2457124.559,11.22
2457124.7,11.9
2457124.9,11.8
2457125.526,11.19
2457125.5764,11.2
2457126.347,11.9
2457126.37639,11.6
2457126.545,11.2
2457127.559,11.22
2457128.47,11.9
2457129.90972,11.2
2457130.6153,11.6
2457130.85764,11.3
2457131.42,10.9
2457131.5479,12.3
2457131.6667,11.2
2457133.5,12.4
2457134.42361,11.2
2457134.47,12.4
2457134.601,11.44
2457135.4,11.7
2457135.60833,11.9
2457135.6139,11.5
2457136.341,11.9
2457136.8,12.4
2457137.8,12.1
2457138.5854,11.2
2457138.87847,12
2457139.4826,11.9
2457140.616,11.7
2457141.4674,12.4
2457150.39,12.4
2457150.73,10.7
2457151.4917,11.8
2457152.4,12.4
2457152.4826,10.7
2457155.5354,12.4
2457156.45417,12.4
2457156.8,12.5
2457158.43056,12.7
2457159.3,12.8
2457159.35,12.6
2457159.52,12.8
2457159.5417,11.2
2457159.585,12.11
2457160.584676,11.888
2457164.529375,11.984
2457164.71319,12.9
2457166.7,12.7
2457170.4306,12.9
2457171.5694,11.2
2457171.626,12.6
2457172.3,12.6
2457172.36,13.2
2457174.441,12.8
2457177.69583,12.8
2457178.461,12.5
2457178.4736,12.8
2457178.566,10.7
2457179.39,13
2457179.46875,12.9
2457180.4174,13.2
2457180.42,13
2457180.7,12.8
2457183.4611,12.8
2457185.5264,11.2
2457186.3,12.7
2457186.39,12.9
2457187.38,13
2457190.4542,13.3
2457190.461134,12.812
2457190.7,13
2457191.4,12.9
2457191.44,13.3
2457192.49,13.4
2457193.4931,11.2
2457193.70625,13.6
2457193.72083,13.1
2457195.418,13.7
2457195.4736,13.3
2457195.6441,13
2457197.442639,13.064
2457198.657,13
2457200.3,13.3
2457201.4618,10.7
2457201.5,13.8
2457203.35417,9.9
2457207.393,12.8
2457207.4549,13.5
2457207.563692,12.963
2457208.43,13.5
2457209.38,13.6
2457210.3,13.5
2457210.4,13.8
2457210.42478,13.429
2457210.425,13.43
2457210.49306,13.5
2457211.4618,10.7
2457212.36,12.3
2457213.5,13.7
2457214.631,13.6
2457214.7,13.5
2457215.70764,13.8
2457216.437,13.8
2457218.48819,12.8
2457221.3896,13.6
2457221.69375,13.6
2457223.4,13.8
2457223.4201,11.2
2457224.383,14
2457224.4139,14.1
2457225.6,13.7
2457226.3,13.8
2457226.49,13.5
2457227.9918,14.064
2457229.453426,14.032
2457229.48713,13.949
2457231.4333,13.7
2457240.3,14
2457240.3729,13.8
2457240.6,14
2457241.4,13.9
2457241.4375,13.9
2457242.7104,14
2457244.36,14
2457244.74444,13.6
2457246.31,14.1
2457246.45139,14
2457246.49306,12.4
2457247.67422,14.523
2457248.44,13.9
2457249.4194,14
2457252.5431,11
2457253.37,13.9
2457254.4,14.1
2457255.646,14.325
2457255.65,15.513
2457258.3,14.2
2457258.34,13.9
2457259.4931,11.2
2457259.5194,12.9
2457263.37431,9.9
2457267.3785,13.6
2457268.3,14
2457272.4965,10.7
2457273.826,10.8
2457275.31,13.6
2457275.4264,14.2
2457276.3813,14.1
2457276.391,13.8
2457276.49306,13.6
2457277.4722,10.7
2457277.61867,14.051
2457277.6375,13.799
2457278.5,13.7
2457278.61841,13.985
2457279.67351,14.067
2457280.6,13.8
2457280.66389,13.6
2457282.3,14.1
2457283.35,13.6
2457283.5847,12
2457283.6056,13.3
2457283.61054,13.465
2457285.4,12.8
2457286.6076,13.1
2457287.4563,11.2
2457289.5772,13.205
2457290.517,13.52
2457291.3767,13.208
2457291.512,13.37
2457293.315058,13.28
2457295.2493,13.4
2457296.353588,15.1
2457296.353866,12.966
2457296.3896,13.4
2457296.45044,12.912
2457297.3,13.6
2457297.44361,12.842
2457297.6,13.1
2457298.3,12.9
2457298.32,13.2
2457298.34,13.2
2457298.343,12.7
2457298.40972,13
2457298.4435,12.754
2457298.70863,12.912
2457299.5035,10.7
2457299.6278,13.2
2457300.68198,13
2457302.775,12.8
2457303.3,12.6
2457303.41548,12.387
2457304.29,13.1
2457306.26,13
2457306.3944,12.7
2457306.45833,9.9
2457306.51597,12.6
2457306.5431,12.6
2457307.3,12.2
2457307.3576,12.5
2457308.41545,12.008
2457310.6,12.5
2457312.441,10.7
2457313.80625,11.8
2457315.563,11.9
2457316.4,11.9
2457318.2,11.8
2457318.24,11.2
2457318.38194,11.2
2457319.539,11.4
2457321.19653,11.2
2457321.2896,11.6
2457321.3875,11.1
2457321.5,11.5
2457322.295741,10.934
2457323.3,11
2457324.2417,10.9
2457324.64583,10.8
2457326.22153,11
2457326.28,11.3
2457326.34,10.9
2457326.546,10.4
2457327.29,10.5
2457327.309,10.1
2457328.3,10.9
2457328.3,11
2457328.303,9.9
2457328.3715,10.4
2457328.38889,10.2
2457328.49955,10.281
2457329.2,10.1
2457329.4368,10.8
2457329.603,11
2457330.4063,10.8
2457330.4181,10.1
2457330.5,10.9
2457330.53125,10.4
2457331.18,10.4
2457331.5743,10.4
2457333.18194,10.1
2457333.4,9.9
2457334.27,9.7
2457334.354,9.72
2457334.7095,9.74
2457335.2194,9.7
2457335.2549,10.4
2457335.280243,9.753
2457335.2867,9.9
2457335.418,9.63
2457335.53681,9.6
2457336.36,9.54
2457336.659,9.3
